trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,13.722299100016244,14.726900100009516,14.731263299996499,up,1,0.4772361000068486,None,0,125485,001,2023-09-08_12h17.28.640,tutorial 2 lab in psych,2023.1.3,59.91256359453188,
1,0,1,0,15.231062199978624,16.23097550001694,16.23097550001694,up,0,0.41216419998090714,None,1,125485,001,2023-09-08_12h17.28.640,tutorial 2 lab in psych,2023.1.3,59.91256359453188,
2,0,2,0,16.664078300003894,17.66411050001625,17.66411050001625,up,1,0.25599789997795597,None,0,125485,001,2023-09-08_12h17.28.640,tutorial 2 lab in psych,2023.1.3,59.91256359453188,
3,0,3,0,17.94717389997095,18.946737999969628,18.946737999969628,up,0,0.29224179999437183,None,2,125485,001,2023-09-08_12h17.28.640,tutorial 2 lab in psych,2023.1.3,59.91256359453188,
4,0,4,0,19.263565199973527,20.26344509999035,20.26344509999035,up,0,0.2904869000194594,None,-4,125485,001,2023-09-08_12h17.28.640,tutorial 2 lab in psych,2023.1.3,59.91256359453188,
5,0,5,0,20.579992900020443,21.579862600017805,21.579862600017805,up,1,0.22000580001622438,None,0,125485,001,2023-09-08_12h17.28.640,tutorial 2 lab in psych,2023.1.3,59.91256359453188,
6,0,6,0,21.829796499980148,22.82958660001168,22.82958660001168,up,0,0.2912849999847822,None,0,125485,001,2023-09-08_12h17.28.640,tutorial 2 lab in psych,2023.1.3,59.91256359453188,
7,0,7,0,23.146095599979162,24.14595149998786,24.14595149998786,up,1,0.31813199998578057,None,0,125485,001,2023-09-08_12h17.28.640,tutorial 2 lab in psych,2023.1.3,59.91256359453188,
8,0,8,0,24.49577069998486,25.495740099984687,25.495740099984687,up,0,0.34071530000073835,None,2,125485,001,2023-09-08_12h17.28.640,tutorial 2 lab in psych,2023.1.3,59.91256359453188,
9,0,9,0,25.86227450001752,26.862158000003546,26.862158000003546,up,1,0.2561981999897398,None,0,125485,001,2023-09-08_12h17.28.640,tutorial 2 lab in psych,2023.1.3,59.91256359453188,
10,0,10,0,27.145349700003862,28.14510219998192,28.14510219998192,up,0,0.23597489995881915,None,-3,125485,001,2023-09-08_12h17.28.640,tutorial 2 lab in psych,2023.1.3,59.91256359453188,
11,0,11,0,28.41174279997358,29.411696299968753,29.411696299968753,up,1,0.27329469996038824,None,0,125485,001,2023-09-08_12h17.28.640,tutorial 2 lab in psych,2023.1.3,59.91256359453188,
12,0,12,0,29.71160979999695,30.711520200013183,30.711520200013183,up,0,0.2782108000246808,None,1,125485,001,2023-09-08_12h17.28.640,tutorial 2 lab in psych,2023.1.3,59.91256359453188,
13,0,13,0,31.011406800011173,32.01103469997179,32.01103469997179,up,0,0.2632828999776393,None,3,125485,001,2023-09-08_12h17.28.640,tutorial 2 lab in psych,2023.1.3,59.91256359453188,
14,0,14,0,32.294229199993424,33.294163700018544,33.294163700018544,up,1,0.2474070999887772,None,0,125485,001,2023-09-08_12h17.28.640,tutorial 2 lab in psych,2023.1.3,59.91256359453188,
15,0,15,0,33.560905599966645,34.560831899987534,34.560831899987534,up,0,0.33394069998757914,None,0,125485,001,2023-09-08_12h17.28.640,tutorial 2 lab in psych,2023.1.3,59.91256359453188,
16,0,16,0,34.927274300018325,35.92714799998794,35.92714799998794,up,1,0.29641070001525804,None,0,125485,001,2023-09-08_12h17.28.640,tutorial 2 lab in psych,2023.1.3,59.91256359453188,
17,0,17,0,36.2433585000108,37.24336409999523,37.24336409999523,up,0,0.25406020000809804,None,0,125485,001,2023-09-08_12h17.28.640,tutorial 2 lab in psych,2023.1.3,59.91256359453188,
18,0,18,0,37.52666679996764,38.5266663999646,38.5266663999646,up,1,0.2066144000273198,None,0,125485,001,2023-09-08_12h17.28.640,tutorial 2 lab in psych,2023.1.3,59.91256359453188,
19,0,19,0,38.7597280999762,39.759782399982214,39.759782399982214,up,0,0.2273443000158295,None,-5,125485,001,2023-09-08_12h17.28.640,tutorial 2 lab in psych,2023.1.3,59.91256359453188,
20,0,20,0,40.00955730001442,41.0093796000001,41.0093796000001,up,1,0.22181800001999363,None,0,125485,001,2023-09-08_12h17.28.640,tutorial 2 lab in psych,2023.1.3,59.91256359453188,
21,0,21,0,41.259306099964306,42.25921859999653,42.25921859999653,up,1,0.25598419999005273,None,0,125485,001,2023-09-08_12h17.28.640,tutorial 2 lab in psych,2023.1.3,59.91256359453188,
22,0,22,0,42.54246540000895,43.542255499982275,43.542255499982275,up,1,0.22270259994547814,None,0,125485,001,2023-09-08_12h17.28.640,tutorial 2 lab in psych,2023.1.3,59.91256359453188,
23,0,23,0,43.792134499992244,44.79196870001033,44.79196870001033,up,1,0.27772999997250736,None,0,125485,001,2023-09-08_12h17.28.640,tutorial 2 lab in psych,2023.1.3,59.91256359453188,
24,0,24,0,45.091783299983945,46.09171800001059,46.09171800001059,up,0,0.28825780004262924,None,-3,125485,001,2023-09-08_12h17.28.640,tutorial 2 lab in psych,2023.1.3,59.91256359453188,
25,0,25,0,46.40828510001302,47.40822109999135,47.40822109999135,up,0,0.18653140001697466,None,3,125485,001,2023-09-08_12h17.28.640,tutorial 2 lab in psych,2023.1.3,59.91256359453188,
26,0,26,0,47.62479059997713,48.62458419997711,48.62458419997711,up,1,0.19089640001766384,None,0,125485,001,2023-09-08_12h17.28.640,tutorial 2 lab in psych,2023.1.3,59.91256359453188,
27,0,27,0,48.84114299999783,49.84159829997225,49.84159829997225,up,1,0.1996620999998413,None,0,125485,001,2023-09-08_12h17.28.640,tutorial 2 lab in psych,2023.1.3,59.91256359453188,
28,0,28,0,50.057609000010416,51.05755430000136,51.05755430000136,up,1,0.2531425000051968,None,0,125485,001,2023-09-08_12h17.28.640,tutorial 2 lab in psych,2023.1.3,59.91256359453188,
29,0,29,0,51.34071750001749,52.340519699966535,52.340519699966535,up,0,0.20790939999278635,None,4,125485,001,2023-09-08_12h17.28.640,tutorial 2 lab in psych,2023.1.3,59.91256359453188,
30,0,30,0,52.57376800000202,53.57387789996574,53.57387789996574,up,0,0.2672905999934301,None,-1,125485,001,2023-09-08_12h17.28.640,tutorial 2 lab in psych,2023.1.3,59.91256359453188,
31,0,31,0,53.87381879996974,54.87341830000514,54.87341830000514,up,0,0.13746289996197447,None,-3,125485,001,2023-09-08_12h17.28.640,tutorial 2 lab in psych,2023.1.3,59.91256359453188,
32,0,32,0,55.039819700003136,56.03990510001313,56.03990510001313,up,1,0.2556129000149667,None,0,125485,001,2023-09-08_12h17.28.640,tutorial 2 lab in psych,2023.1.3,59.91256359453188,
33,0,33,0,56.323148800001945,57.32309439999517,57.32309439999517,up,1,0.18274379998911172,None,0,125485,001,2023-09-08_12h17.28.640,tutorial 2 lab in psych,2023.1.3,59.91256359453188,
34,0,34,0,57.522817499993835,58.52277849998791,58.52277849998791,up,0,0.2463339000241831,None,3,125485,001,2023-09-08_12h17.28.640,tutorial 2 lab in psych,2023.1.3,59.91256359453188,
35,0,35,0,58.78914619999705,59.78911299997708,59.78911299997708,up,1,0.3036796000087634,None,0,125485,001,2023-09-08_12h17.28.640,tutorial 2 lab in psych,2023.1.3,59.91256359453188,
36,0,36,0,60.1222575000138,61.122326000011526,61.122326000011526,up,1,0.18275540001923218,None,0,125485,001,2023-09-08_12h17.28.640,tutorial 2 lab in psych,2023.1.3,59.91256359453188,
37,0,37,0,61.32214820000809,62.322023699991405,62.322023699991405,up,0,0.2170936000184156,None,-5,125485,001,2023-09-08_12h17.28.640,tutorial 2 lab in psych,2023.1.3,59.91256359453188,
38,0,38,0,62.55534349998925,63.55516910000006,63.55516910000006,up,1,0.14103769999928772,None,0,125485,001,2023-09-08_12h17.28.640,tutorial 2 lab in psych,2023.1.3,59.91256359453188,
39,0,39,0,63.721623399993405,64.72154250001768,64.72154250001768,up,1,0.25925340002868325,None,0,125485,001,2023-09-08_12h17.28.640,tutorial 2 lab in psych,2023.1.3,59.91256359453188,
40,0,40,0,65.00481030001538,66.00449339998886,66.00449339998886,up,1,0.2176566999987699,None,0,125485,001,2023-09-08_12h17.28.640,tutorial 2 lab in psych,2023.1.3,59.91256359453188,
41,0,41,0,66.25447099999292,67.2543831000221,67.2543831000221,up,1,0.3481959000346251,None,0,125485,001,2023-09-08_12h17.28.640,tutorial 2 lab in psych,2023.1.3,59.91256359453188,
42,0,42,0,67.6208520999644,68.62066109996522,68.62066109996522,up,0,0.2668309999862686,None,4,125485,001,2023-09-08_12h17.28.640,tutorial 2 lab in psych,2023.1.3,59.91256359453188,
43,0,43,0,68.90384199999971,69.90384179999819,69.90384179999819,up,0,0.27025860000867397,None,0,125485,001,2023-09-08_12h17.28.640,tutorial 2 lab in psych,2023.1.3,59.91256359453188,
44,0,44,0,70.20367199997418,71.20357969996985,71.20357969996985,up,1,0.15261489996919408,None,0,125485,001,2023-09-08_12h17.28.640,tutorial 2 lab in psych,2023.1.3,59.91256359453188,
45,0,45,0,71.38681459997315,72.38690599997062,72.38690599997062,up,1,0.22531579999485984,None,0,125485,001,2023-09-08_12h17.28.640,tutorial 2 lab in psych,2023.1.3,59.91256359453188,
