Stair.thisTrialN,Stair.stepSize,Stair.intensity,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,corrAns,tilt,key_resp.corr,Stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate
0,2,10,5.1726687,5.6717485,5.6717485,5.6717485,5.9721561,right,10,1,1,19.6413706,137786,1,2023-09-06_16h39.05.393,diya adaptive staircase tut1,2023.1.3,59.90301702
1,2,8,16.2870955,16.7874971,16.7874971,16.7874971,17.087242,right,8,1,1,9.908736,137786,1,2023-09-06_16h39.05.393,diya adaptive staircase tut1,2023.1.3,59.90301702
2,2,6,17.6705853,18.1704085,18.1704085,18.1704085,18.4705801,right,6,1,1,11.9135728,137786,1,2023-09-06_16h39.05.393,diya adaptive staircase tut1,2023.1.3,59.90301702
3,1,4,21.0699023,21.5695938,21.5695938,21.5695938,21.8694539,left,-4,0,0,9.9099446,137786,1,2023-09-06_16h39.05.393,diya adaptive staircase tut1,2023.1.3,59.90301702
4,1,5,22.453306,22.9527788,22.9527788,22.9527788,23.2531346,right,5,1,1,9.6267904,137786,1,2023-09-06_16h39.05.393,diya adaptive staircase tut1,2023.1.3,59.90301702
5,1,5,23.5528669,24.0528636,24.0528636,24.0528636,24.352708,right,5,1,1,9.6964523,137786,1,2023-09-06_16h39.05.393,diya adaptive staircase tut1,2023.1.3,59.90301702
6,1,5,24.7189704,25.9533051,25.9533051,25.9533051,26.2689227,right,5,1,1,9.3953147,137786,1,2023-09-06_16h39.05.393,diya adaptive staircase tut1,2023.1.3,59.90301702
7,0.5,4,26.3188662,26.8188464,26.8188464,26.8188464,27.119524,left,-4,0,0,10.3567028,137786,1,2023-09-06_16h39.05.393,diya adaptive staircase tut1,2023.1.3,59.90301702
8,0.5,4.5,28.1511368,28.6512981,28.6512981,28.6512981,,right,4.5,1,1,9.2968941,137786,1,2023-09-06_16h39.05.393,diya adaptive staircase tut1,2023.1.3,59.90301702
9,0.5,4.5,28.9181973,29.4183259,29.4183259,29.4183259,29.7186087,right,4.5,1,1,10.39579,137786,1,2023-09-06_16h39.05.393,diya adaptive staircase tut1,2023.1.3,59.90301702
10,0.5,4.5,30.7845247,31.2848523,31.2848523,31.2848523,31.5846033,left,-4.5,0,0,10.0794567,137786,1,2023-09-06_16h39.05.393,diya adaptive staircase tut1,2023.1.3,59.90301702
11,0.5,5,32.3352171,32.8345672,32.8345672,32.8345672,33.1345131,right,5,1,1,11.396056,137786,1,2023-09-06_16h39.05.393,diya adaptive staircase tut1,2023.1.3,59.90301702
12,0.5,5,35.200886,35.7000564,35.7000564,35.7000564,36.0003314,left,-5,0,0,9.4684899,137786,1,2023-09-06_16h39.05.393,diya adaptive staircase tut1,2023.1.3,59.90301702
13,0.5,5.5,36.1496433,36.6488084,36.6488084,36.6488084,36.949874,right,5.5,1,1,10.5932097,137786,1,2023-09-06_16h39.05.393,diya adaptive staircase tut1,2023.1.3,59.90301702
14,0.5,5.5,38.2164998,38.7320519,38.71527,38.71527,39.0162934,right,5.5,1,1,9.4970318,137786,1,2023-09-06_16h39.05.393,diya adaptive staircase tut1,2023.1.3,59.90301702
15,0.5,5.5,39.1835162,39.6833859,39.6833859,39.6833859,39.983293,left,-5.5,1,1,20.8436438,137786,1,2023-09-06_16h39.05.393,diya adaptive staircase tut1,2023.1.3,59.90301702
16,0.5,5,51.5028245,52.0140348,51.9970155,51.9970155,52.297426,right,5,0,0,9.6272676,137786,1,2023-09-06_16h39.05.393,diya adaptive staircase tut1,2023.1.3,59.90301702
