study_words,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
vase,,0,0,0,0,,,,,14.519004000001587,14.519004000001587,1.0208333333333333,2.1613049000152387,,,,,,,,,,,,,1st priming,001,2023-10-05_22h12.52.905,lab in psych tut5,2023.1.3,60.04257019886686,
tiger,,0,1,1,1,,,,,16.692354099999648,16.692354099999648,1.0208333333333333,0.7400842999923043,,,,,,,,,,,,,1st priming,001,2023-10-05_22h12.52.905,lab in psych tut5,2023.1.3,60.04257019886686,
cushion,,0,2,2,3,,,,,17.460428900027182,17.460428900027182,1.0208333333333333,0.6435113999759778,,,,,,,,,,,,,1st priming,001,2023-10-05_22h12.52.905,lab in psych tut5,2023.1.3,60.04257019886686,
book ,,0,3,3,2,,,,,18.134112700005062,18.134112700005062,1.0208333333333333,0.66927020001458,,,,,,,,,,,,,1st priming,001,2023-10-05_22h12.52.905,lab in psych tut5,2023.1.3,60.04257019886686,
piano,,0,4,4,4,,,,,18.827161099994555,18.827161099994555,1.0208333333333333,0.6777092999545857,,,,,,,,,,,,,1st priming,001,2023-10-05_22h12.52.905,lab in psych tut5,2023.1.3,60.04257019886686,
vase,,1,0,5,0,,,,,19.531546799989883,19.531546799989883,1.0208333333333333,0.6891792999813333,,,,,,,,,,,,,1st priming,001,2023-10-05_22h12.52.905,lab in psych tut5,2023.1.3,60.04257019886686,
piano,,1,1,6,4,,,,,20.243572400009725,20.243572400009725,1.0208333333333333,0.7041177999926731,,,,,,,,,,,,,1st priming,001,2023-10-05_22h12.52.905,lab in psych tut5,2023.1.3,60.04257019886686,
tiger,,1,2,7,1,,,,,20.978265200043097,20.978265200043097,1.0208333333333333,0.6065667999791913,,,,,,,,,,,,,1st priming,001,2023-10-05_22h12.52.905,lab in psych tut5,2023.1.3,60.04257019886686,
cushion,,1,3,8,3,,,,,21.60558299999684,21.60558299999684,1.0208333333333333,0.6119595000054687,,,,,,,,,,,,,1st priming,001,2023-10-05_22h12.52.905,lab in psych tut5,2023.1.3,60.04257019886686,
book ,,1,4,9,2,,,,,22.248146300029475,22.248146300029475,1,1.5526101000141352,,,,,,,,,,,,,1st priming,001,2023-10-05_22h12.52.905,lab in psych tut5,2023.1.3,60.04257019886686,
cushion,,2,0,10,3,,,,,23.823158300016075,23.823158300016075,1,0.6121759000234306,,,,,,,,,,,,,1st priming,001,2023-10-05_22h12.52.905,lab in psych tut5,2023.1.3,60.04257019886686,
piano,,2,1,11,4,,,,,24.462456300039776,24.462456300039776,1,0.4415991000132635,,,,,,,,,,,,,1st priming,001,2023-10-05_22h12.52.905,lab in psych tut5,2023.1.3,60.04257019886686,
tiger,,2,2,12,1,,,,,24.93168760003755,24.93168760003755,1,0.5021526999771595,,,,,,,,,,,,,1st priming,001,2023-10-05_22h12.52.905,lab in psych tut5,2023.1.3,60.04257019886686,
vase,,2,3,13,0,,,,,25.453923900029622,25.453923900029622,1,0.3937539999606088,,,,,,,,,,,,,1st priming,001,2023-10-05_22h12.52.905,lab in psych tut5,2023.1.3,60.04257019886686,
book ,,2,4,14,2,,,,,25.872711300035007,25.872711300035007,1,0.3610331999952905,,,,,,,,,,,,,1st priming,001,2023-10-05_22h12.52.905,lab in psych tut5,2023.1.3,60.04257019886686,
tiger,,3,0,15,1,,,,,26.264664000016637,26.264664000016637,1,0.3536527000251226,,,,,,,,,,,,,1st priming,001,2023-10-05_22h12.52.905,lab in psych tut5,2023.1.3,60.04257019886686,
book ,,3,1,16,2,,,,,26.64144800003851,26.64144800003851,1,0.8591419999720529,,,,,,,,,,,,,1st priming,001,2023-10-05_22h12.52.905,lab in psych tut5,2023.1.3,60.04257019886686,
cushion,,3,2,17,3,,,,,27.524885800026823,27.524885800026823,1,0.7600552000221796,,,,,,,,,,,,,1st priming,001,2023-10-05_22h12.52.905,lab in psych tut5,2023.1.3,60.04257019886686,
vase,,3,3,18,0,,,,,28.31194049998885,28.31194049998885,1,0.4236782999942079,,,,,,,,,,,,,1st priming,001,2023-10-05_22h12.52.905,lab in psych tut5,2023.1.3,60.04257019886686,
piano,,3,4,19,4,,,,,28.764333600003738,28.764333600003738,1,1.1018869999679737,,,,,,,,,,,,,1st priming,001,2023-10-05_22h12.52.905,lab in psych tut5,2023.1.3,60.04257019886686,
tiger,,4,0,20,1,,,,,29.88919260003604,29.88919260003604,1,0.7119809000287205,,,,,,,,,,,,,1st priming,001,2023-10-05_22h12.52.905,lab in psych tut5,2023.1.3,60.04257019886686,
piano,,4,1,21,4,,,,,30.63051530002849,30.63051530002849,1,0.3209010999999009,,,,,,,,,,,,,1st priming,001,2023-10-05_22h12.52.905,lab in psych tut5,2023.1.3,60.04257019886686,
vase,,4,2,22,0,,,,,30.97982290002983,30.97982290002983,1,0.27125799999339506,,,,,,,,,,,,,1st priming,001,2023-10-05_22h12.52.905,lab in psych tut5,2023.1.3,60.04257019886686,
book ,,4,3,23,2,,,,,31.273466999991797,31.273466999991797,1,0.2936300999717787,,,,,,,,,,,,,1st priming,001,2023-10-05_22h12.52.905,lab in psych tut5,2023.1.3,60.04257019886686,
cushion,,4,4,24,3,,,,,31.600537299993448,31.600537299993448,1,1.606062600039877,,,,,,,,,,,,,1st priming,001,2023-10-05_22h12.52.905,lab in psych tut5,2023.1.3,60.04257019886686,
,t_g_r,,,,,0,0,0,1,,,,,33.23297630000161,33.23297630000161,33.23297630000161,0.016276100010145456,tiger,"[-0.5052083333333334, -0.00390625]","[-0.3046875, -0.2890625]","[1, 1]","[0, 0]","[0, 0]","[0.24571600003400818, 3.961713000026066]",['text_3'],1st priming,001,2023-10-05_22h12.52.905,lab in psych tut5,2023.1.3,60.04257019886686,
,_ia_n_,,,,,0,1,1,4,,,,,37.20137230004184,37.20137230004184,37.20137230004184,0.004765300021972507,piano,[-0.006510416666666667],[-0.3046875],[1],[0],[0],[3.458731699967757],['text_3'],1st priming,001,2023-10-05_22h12.52.905,lab in psych tut5,2023.1.3,60.04257019886686,
,_oo_,,,,,0,2,2,2,,,,,40.66647060000105,40.66647060000105,40.66647060000105,0.004663900006562471,book,[-0.0026041666666666665],[-0.2981770833333333],[1],[0],[0],[2.775661299994681],['text_3'],1st priming,001,2023-10-05_22h12.52.905,lab in psych tut5,2023.1.3,60.04257019886686,
,_a_e,,,,,0,3,3,0,,,,,43.449554199993145,43.449554199993145,43.449554199993145,0.004935500037390739,vase,[0.0],[-0.29296875],[1],[0],[0],[3.0924519000109285],['text_3'],1st priming,001,2023-10-05_22h12.52.905,lab in psych tut5,2023.1.3,60.04257019886686,
,c_s_i_n,,,,,0,4,4,3,,,,,46.54935139999725,46.54935139999725,46.54935139999725,0.004866800038143992,cushion,[0.0],[-0.29296875],[1],[0],[0],[3.9590103999944404],['text_3'],1st priming,001,2023-10-05_22h12.52.905,lab in psych tut5,2023.1.3,60.04257019886686,
,_oo_,,,,,1,0,5,2,,,,,50.514454999996815,50.514454999996815,50.514454999996815,0.004548400000203401,book,[0.0],[-0.29296875],[1],[0],[0],[2.4929620000184514],['text_3'],1st priming,001,2023-10-05_22h12.52.905,lab in psych tut5,2023.1.3,60.04257019886686,
,_a_e,,,,,1,1,6,0,,,,,53.01439940003911,53.01439940003911,53.01439940003911,0.004317499988246709,vase,[0.0],[-0.29296875],[1],[0],[0],[3.0592415999853984],['text_3'],1st priming,001,2023-10-05_22h12.52.905,lab in psych tut5,2023.1.3,60.04257019886686,
,t_g_r,,,,,1,2,7,1,,,,,56.07938449998619,56.07938449998619,56.07938449998619,0.004493799991905689,tiger,[-0.018229166666666668],[-0.3033854166666667],[1],[0],[0],[3.0099926000111736],['text_3'],1st priming,001,2023-10-05_22h12.52.905,lab in psych tut5,2023.1.3,60.04257019886686,
,_ia_n_,,,,,1,3,8,4,,,,,59.09680230001686,59.09680230001686,59.09680230001686,0.004690599977038801,piano,[-0.00390625],[-0.3098958333333333],[1],[0],[0],[2.7258977000019513],['text_3'],1st priming,001,2023-10-05_22h12.52.905,lab in psych tut5,2023.1.3,60.04257019886686,
,c_s_i_n,,,,,1,4,9,3,,,,,61.828496300033294,61.828496300033294,61.828496300033294,0.004646799992769957,cushion,[-0.005208333333333333],[-0.2903645833333333],[1],[0],[0],[2.709328699973412],['text_3'],1st priming,001,2023-10-05_22h12.52.905,lab in psych tut5,2023.1.3,60.04257019886686,
,c_s_i_n,,,,,2,0,10,3,,,,,64.54282319999766,64.54282319999766,64.54282319999766,0.001260699995327741,cushion,[-0.02734375],[-0.29296875],[1],[0],[0],[3.845810499973595],['text_3'],1st priming,001,2023-10-05_22h12.52.905,lab in psych tut5,2023.1.3,60.04257019886686,
,_oo_,,,,,2,1,11,2,,,,,68.39645840000594,68.39645840000594,68.39645840000594,0.00535599997965619,book,[-0.020833333333333332],[-0.2981770833333333],[1],[0],[0],[2.191471299971454],['text_3'],1st priming,001,2023-10-05_22h12.52.905,lab in psych tut5,2023.1.3,60.04257019886686,
,_ia_n_,,,,,2,2,12,4,,,,,70.59395890001906,70.59395890001906,70.59395890001906,0.004628599970601499,piano,[-0.013020833333333334],[-0.3072916666666667],[1],[0],[0],[2.576357099984307],['text_3'],1st priming,001,2023-10-05_22h12.52.905,lab in psych tut5,2023.1.3,60.04257019886686,
,_a_e,,,,,2,3,13,0,,,,,73.17784980003489,73.17784980003489,73.17784980003489,0.004704099963419139,vase,[-0.013020833333333334],[-0.3072916666666667],[1],[0],[0],[2.926531500008423],['text_3'],1st priming,001,2023-10-05_22h12.52.905,lab in psych tut5,2023.1.3,60.04257019886686,
,t_g_r,,,,,2,4,14,1,,,,,76.11082140001236,76.11082140001236,76.11082140001236,0.005091300001367927,tiger,[-0.01171875],[-0.3033854166666667],[1],[0],[0],[3.424790499964729],['text_3'],1st priming,001,2023-10-05_22h12.52.905,lab in psych tut5,2023.1.3,60.04257019886686,
,c_s_i_n,,,,,3,0,15,3,,,,,79.54374610004015,79.54374610004015,79.54374610004015,0.005711400008294731,cushion,[-0.010416666666666666],[-0.2903645833333333],[1],[0],[0],[3.6081994000123814],['text_3'],1st priming,001,2023-10-05_22h12.52.905,lab in psych tut5,2023.1.3,60.04257019886686,
