study_words,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
vase,,0,0,0,0,,,,,15.480194700008724,15.480194700008724,1.953125,1.5856660000281408,,,,,,,,,,,,,2nd priming,001,2023-10-05_22h16.26.433,lab in psych tut5,2023.1.3,60.01532791268924,
piano,,0,1,1,4,,,,,17.088826599996537,17.088826599996537,1.953125,1.309146299958229,,,,,,,,,,,,,2nd priming,001,2023-10-05_22h16.26.433,lab in psych tut5,2023.1.3,60.01532791268924,
book ,,0,2,2,2,,,,,18.426498100045137,18.426498100045137,1.0260416666666667,0.9691077999887057,,,,,,,,,,,,,2nd priming,001,2023-10-05_22h16.26.433,lab in psych tut5,2023.1.3,60.01532791268924,
tiger,,0,3,3,1,,,,,19.4254832000006,19.4254832000006,1.0260416666666667,0.7192357000312768,,,,,,,,,,,,,2nd priming,001,2023-10-05_22h16.26.433,lab in psych tut5,2023.1.3,60.01532791268924,
cushion,,0,4,4,3,,,,,20.169084200053476,20.169084200053476,1.0260416666666667,0.5911530000157654,,,,,,,,,,,,,2nd priming,001,2023-10-05_22h16.26.433,lab in psych tut5,2023.1.3,60.01532791268924,
book ,,1,0,5,2,,,,,20.784864100045525,20.784864100045525,1.0260416666666667,0.5252968999557197,,,,,,,,,,,,,2nd priming,001,2023-10-05_22h16.26.433,lab in psych tut5,2023.1.3,60.01532791268924,
tiger,,1,1,6,1,,,,,21.333699800015893,21.333699800015893,1.0260416666666667,0.5762189999804832,,,,,,,,,,,,,2nd priming,001,2023-10-05_22h16.26.433,lab in psych tut5,2023.1.3,60.01532791268924,
vase,,1,2,7,0,,,,,21.93132400000468,21.93132400000468,1.0260416666666667,0.4456443000235595,,,,,,,,,,,,,2nd priming,001,2023-10-05_22h16.26.433,lab in psych tut5,2023.1.3,60.01532791268924,
piano,,1,3,8,4,,,,,22.407256600039545,22.407256600039545,1.0260416666666667,0.4394546000403352,,,,,,,,,,,,,2nd priming,001,2023-10-05_22h16.26.433,lab in psych tut5,2023.1.3,60.01532791268924,
cushion,,1,4,9,3,,,,,22.87581580004189,22.87581580004189,1.0260416666666667,0.43566249997820705,,,,,,,,,,,,,2nd priming,001,2023-10-05_22h16.26.433,lab in psych tut5,2023.1.3,60.01532791268924,
