study_words,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
cushion,,0,0,0,3,,,,,14.121631600020919,14.121631600020919,1.0572916666666667,2.385694299999159,,,,,,,,,,,,,3rd priming,001,2023-10-05_22h18.47.376,lab in psych tut5,2023.1.3,59.977460473284424,
tiger,,0,1,1,1,,,,,16.53564620000543,16.53564620000543,1.0572916666666667,1.2348817000165582,,,,,,,,,,,,,3rd priming,001,2023-10-05_22h18.47.376,lab in psych tut5,2023.1.3,59.977460473284424,
piano,,0,2,2,4,,,,,17.80205759999808,17.80205759999808,1.0572916666666667,0.9027660000137985,,,,,,,,,,,,,3rd priming,001,2023-10-05_22h18.47.376,lab in psych tut5,2023.1.3,59.977460473284424,
book ,,0,3,3,2,,,,,18.731680500030052,18.731680500030052,1.0572916666666667,0.787703900015913,,,,,,,,,,,,,3rd priming,001,2023-10-05_22h18.47.376,lab in psych tut5,2023.1.3,59.977460473284424,
vase,,0,4,4,0,,,,,19.547024000028614,19.547024000028614,1.0572916666666667,0.7692861999967135,,,,,,,,,,,,,3rd priming,001,2023-10-05_22h18.47.376,lab in psych tut5,2023.1.3,59.977460473284424,
piano,,1,0,5,4,,,,,20.33884440001566,20.33884440001566,1.0572916666666667,0.660183500032872,,,,,,,,,,,,,3rd priming,001,2023-10-05_22h18.47.376,lab in psych tut5,2023.1.3,59.977460473284424,
cushion,,1,1,6,3,,,,,21.022836300020572,21.022836300020572,1.0572916666666667,0.546248700004071,,,,,,,,,,,,,3rd priming,001,2023-10-05_22h18.47.376,lab in psych tut5,2023.1.3,59.977460473284424,
book ,,1,2,7,2,,,,,21.597660700033884,21.597660700033884,1.0572916666666667,0.8529993999982253,,,,,,,,,,,,,3rd priming,001,2023-10-05_22h18.47.376,lab in psych tut5,2023.1.3,59.977460473284424,
tiger,,1,3,8,1,,,,,22.47759920003591,22.47759920003591,1.0572916666666667,0.6220377999707125,,,,,,,,,,,,,3rd priming,001,2023-10-05_22h18.47.376,lab in psych tut5,2023.1.3,59.977460473284424,
vase,,1,4,9,0,,,,,23.136553000018466,23.136553000018466,1.0572916666666667,0.6828167000203393,,,,,,,,,,,,,3rd priming,001,2023-10-05_22h18.47.376,lab in psych tut5,2023.1.3,59.977460473284424,
