study_words,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
vase,,0,0,0,0,,,,,14.469654199958313,14.469654199958313,1.0052083333333333,1.9931930999737233,,,,,,,,,,,,,4th priming,001,2023-10-05_22h20.41.133,lab in psych tut5,2023.1.3,60.07225491991572,
tiger,,0,1,1,1,,,,,16.489089199982118,16.489089199982118,1.0052083333333333,0.7389816999784671,,,,,,,,,,,,,4th priming,001,2023-10-05_22h20.41.133,lab in psych tut5,2023.1.3,60.07225491991572,
book ,,0,2,2,2,,,,,17.26313979999395,17.26313979999395,1.0052083333333333,0.583522200002335,,,,,,,,,,,,,4th priming,001,2023-10-05_22h20.41.133,lab in psych tut5,2023.1.3,60.07225491991572,
piano,,0,3,3,4,,,,,17.86803129996406,17.86803129996406,1.0052083333333333,0.47447750001447275,,,,,,,,,,,,,4th priming,001,2023-10-05_22h20.41.133,lab in psych tut5,2023.1.3,60.07225491991572,
cushion,,0,4,4,3,,,,,18.37445000000298,18.37445000000298,1.0052083333333333,0.5551806000294164,,,,,,,,,,,,,4th priming,001,2023-10-05_22h20.41.133,lab in psych tut5,2023.1.3,60.07225491991572,
cushion,,1,0,5,3,,,,,18.957935699960217,18.957935699960217,1.0052083333333333,0.5257581000332721,,,,,,,,,,,,,4th priming,001,2023-10-05_22h20.41.133,lab in psych tut5,2023.1.3,60.07225491991572,
piano,,1,1,6,4,,,,,19.508747299958486,19.508747299958486,1.0052083333333333,0.6520217999932356,,,,,,,,,,,,,4th priming,001,2023-10-05_22h20.41.133,lab in psych tut5,2023.1.3,60.07225491991572,
book ,,1,2,7,2,,,,,20.183295599999838,20.183295599999838,1.0052083333333333,0.5455394999589771,,,,,,,,,,,,,4th priming,001,2023-10-05_22h20.41.133,lab in psych tut5,2023.1.3,60.07225491991572,
vase,,1,3,8,0,,,,,20.75706649996573,20.75706649996573,1.0052083333333333,0.5393801999744028,,,,,,,,,,,,,4th priming,001,2023-10-05_22h20.41.133,lab in psych tut5,2023.1.3,60.07225491991572,
tiger,,1,4,9,1,,,,,21.322697299998254,21.322697299998254,1.0052083333333333,0.4877363999839872,,,,,,,,,,,,,4th priming,001,2023-10-05_22h20.41.133,lab in psych tut5,2023.1.3,60.07225491991572,
